paste.UND2...9...ID..sep.......;X|Y|ID
"""Россия, Москва, Филёвская линия, метро Филёвский парк"",40112";37.652238|55.855224|75036
"""Россия, Москва, Филёвская линия, метро Фили"",118290";37.533535|55.748741|166759
"""Россия, Москва, Сокольническая линия, метро Фрунзенская"",138537";82.91477|55.051071|58818
"""Россия, Москва, Замоскворецкая линия, метро Царицыно"",108000";30.412689|59.928875|44944
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Цветной бульвар"",135657";37.622513|55.729006|148755
"""Россия, Москва, Сокольническая линия, метро Черкизовская"",130762";30.360559|59.931517|51037
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Чертановская"",111351";50.133125|53.209168|13946
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Чеховская"",135204";37.6039|55.765747|150473
"""Россия, Москва, Сокольническая линия, метро Чистые пруды"",172377";37.649256|55.655412|237325
"""Россия, Москва, Люблинско-Дмитровская линия, метро Чкаловская"",75184";37.676241|55.71807|215572
"""Россия, Москва, Калужско-Рижская линия, метро Шаболовская"",103054";37.622612|55.708841|147910
"""Россия, Москва, Люблинско-Дмитровская линия, метро Шипиловская"",129856";30.346204|59.928185|24248
"""Россия, Москва, Калининская линия, метро Шоссе Энтузиастов"",80963";82.898735|55.035359|85262
"""Россия, Москва, Арбатско-Покровская линия, метро Щёлковская"",39257";37.626322|55.740958|14916
"""Россия, Москва, Таганско-Краснопресненская линия, метро Щукинская"",48356";30.442809|60.050251|130998
"""Россия, Москва, Арбатско-Покровская линия, метро Электрозаводская"",67438";43.921167|56.276479|198455
"""Россия, Москва, Сокольническая линия, метро Юго-Западная"",75962";60.610707|56.807841|166355
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Южная"",199588";30.278247|59.942525|85363
"""Россия, Москва, Калужско-Рижская линия, метро Ясенево"",226011";43.913199|56.266497|214411
"""Россия, Санкт-Петербург, 1 линия, метро Автово"",109399";37.76177|55.675682|226789
"""Россия, Санкт-Петербург, 5 линия, метро Адмиралтейская"",95097";37.756066|55.722147|178803
"""Россия, Санкт-Петербург, 1 линия, метро Академическая"",152281";37.638952|55.729797|153357
"""Россия, Санкт-Петербург, 1 линия, метро Балтийская"",132097";37.603316|55.752333|231634
"""Россия, Санкт-Петербург, 5 линия, метро Бухарестская"",205092";37.732593|55.708831|11976
"""Россия, Санкт-Петербург, 3 линия, метро Василеостровская"",85363";37.354034|55.855674|195268
"""Россия, Санкт-Петербург, 1 линия, метро Владимирская"",137259";37.586212|55.777155|20558
"""Россия, Санкт-Петербург, 5 линия, метро Волковская"",117217";37.520258|55.777099|172319
"""Россия, Санкт-Петербург, 1 линия, метро Выборгская"",31540";82.893031|54.983055|163734
"""Россия, Санкт-Петербург, 2 линия, метро Горьковская"",53958";37.596192|55.769808|242522
"""Россия, Санкт-Петербург, 3 линия, метро Гостиный двор"",212720";37.622863|55.683386|98514
"""Россия, Санкт-Петербург, 1 линия, метро Гражданский проспект"",109019";30.500391|59.830911|203597
"""Россия, Санкт-Петербург, 1 линия, метро Девяткино"",130998";37.799436|55.794376|38659
"""Россия, Санкт-Петербург, 4 линия, метро Достоевская"",24248";37.603316|55.752333|214842
"""Россия, Санкт-Петербург, 3 линия, метро Елизаровская"",116324";37.476231|55.854891|77387
"""Россия, Санкт-Петербург, 5 линия, метро Звенигородская"",246729";30.439306|59.932495|193982
"""Россия, Санкт-Петербург, 2 линия, метро Звёздная"",131932";37.505912|55.61873|185309
"""Россия, Санкт-Петербург, 1 линия, метро Кировский завод"",182094";50.150158|53.211115|189174
"""Россия, Санкт-Петербург, 5 линия, метро Комендантский проспект"",72243";49.166502|55.765169|50532
"""Россия, Санкт-Петербург, 5 линия, метро Крестовский остров"",166815";37.66442|55.693931|212119
"""Россия, Санкт-Петербург, 2 линия, метро Купчино"",171440";30.292099|59.960985|24884
"""Россия, Санкт-Петербург, 4 линия, метро Ладожская"",193982";30.31797|59.891494|88761
"""Россия, Санкт-Петербург, 1 линия, метро Ленинский проспект"",56643";30.335631|59.922282|246729
"""Россия, Санкт-Петербург, 1 линия, метро Лесная"",175773";37.505831|55.67691|38872
"""Россия, Санкт-Петербург, 4 линия, метро Лиговский проспект"",102889";37.446874|55.730877|150989
"""Россия, Санкт-Петербург, 3 линия, метро Ломоносовская"",94872";37.554493|55.670077|171172
"""Россия, Санкт-Петербург, 3 линия, метро Маяковская"",222315";30.250588|59.84211|10137
"""Россия, Санкт-Петербург, 5 линия, метро Международная"",214669";37.516925|55.736164|157658
"""Россия, Санкт-Петербург, 2 линия, метро Московская"",104903";37.666144|55.731896|41057
"""Россия, Санкт-Петербург, 2 линия, метро Московские ворота"",88761";37.632323|55.772315|40200
"""Россия, Санкт-Петербург, 1 линия, метро Нарвская"",101569";30.349573|59.914669|53264
"""Россия, Санкт-Петербург, 2 линия, метро Невский проспект"",131581";37.595061|55.736077|86678
"""Россия, Санкт-Петербург, 4 линия, метро Новочеркасская"",44944";37.617689|55.758808|139837
"""Россия, Санкт-Петербург, 5 линия, метро Обводный канал"",53264";37.751583|55.758255|80963
"""Россия, Санкт-Петербург, 3 линия, метро Обухово"",153218";30.261403|59.867308|109399
"""Россия, Санкт-Петербург, 2 линия, метро Озерки"",73852";37.716612|55.751432|12816
"""Россия, Санкт-Петербург, 2 линия, метро Парк Победы"",107383";37.497791|55.818923|57945
"""Россия, Санкт-Петербург, 2 линия, метро Парнас"",11046";43.85816|56.242034|51486
"""Россия, Санкт-Петербург, 2 линия, метро Петроградская"",190504";43.947273|56.321142|22642
"""Россия, Санкт-Петербург, 2 линия, метро Пионерская"",70968";30.396079|60.012746|152281
"""Россия, Санкт-Петербург, 3 линия, метро Площадь Александра Невского 1"",124892";60.600789|56.857854|12689
"""Россия, Санкт-Петербург, 4 линия, метро Площадь Александра Невского 2"",208213";30.457811|59.84861|153218
"""Россия, Санкт-Петербург, 1 линия, метро Площадь Восстания"",51037";37.573447|55.687761|126917
"""Россия, Санкт-Петербург, 1 линия, метро Площадь Ленина"",142883";30.418276|60.034915|109019
"""Россия, Санкт-Петербург, 1 линия, метро Площадь Мужества"",239759";37.467078|55.735986|61901
"""Россия, Санкт-Петербург, 3 линия, метро Приморская"",121051";37.728398|55.692972|37025
